brand,model,year,km_driven,fuel_type,transmission,number_of_owners,location,selling_price
Ford,Fiesta,2014,118831,Electric,Manual,Second,Jaipur,1.34
Tata,Safari,2022,66836,LPG,Manual,First,Hyderabad,3.43
Renault,Lodgy,2017,36923,Petrol,Automatic,Second,Chennai,1.6
Mahindra,Bolero,2008,100711,Diesel,Manual,First,Delhi,0.92
Ford,Freestyle,2020,21292,Diesel,Automatic,First,Chennai,4.33
Chevrolet,Spark,2021,129913,Petrol,Manual,Second,Kolkata,1.33
Honda,CR-V,2014,137686,CNG,Automatic,Second,Delhi,1.61
Ford,Ikon,2008,25939,LPG,Automatic,First,Mumbai,1.34
Renault,Fluence,2014,23800,LPG,Manual,Fourth & Above,Chennai,0.75
Mahindra,Bolero,2017,61440,Petrol,Manual,Second,Pune,1.44
Tata,Punch,2015,159318,Diesel,Manual,First,Mumbai,0.71
Renault,Lodgy,2018,132521,Petrol,Manual,First,Mumbai,1.34
Renault,Fluence,2016,188877,Petrol,Manual,First,Jaipur,0.76
Honda,WR-V,2019,126327,Diesel,Manual,Second,Kolkata,2.21
Toyota,Innova,2010,54648,LPG,Manual,First,Delhi,2.16
Mahindra,KUV100,2022,120192,LPG,Manual,First,Delhi,2.21
Hyundai,i10,2011,192923,Electric,Manual,First,Chennai,0.86
Renault,Lodgy,2011,167760,LPG,Manual,First,Delhi,0.54
Toyota,Fortuner,2019,98498,Petrol,Manual,Second,Chennai,4.16
Hyundai,Tucson,2016,34764,Diesel,Automatic,Second,Pune,2.98
Mahindra,XUV700,2020,37470,Petrol,Automatic,First,Hyderabad,4.82
Maruti Suzuki,Ciaz,2014,174573,Petrol,Automatic,First,Pune,0.82
Chevrolet,Spark,2010,62207,Diesel,Manual,First,Chennai,1.01
Toyota,Camry,2017,67157,Diesel,Manual,Second,Lucknow,2.9
Nissan,X-Trail,2012,139288,Diesel,Manual,Second,Bangalore,1.18
Maruti Suzuki,Wagon R,2014,158144,Petrol,Manual,First,Chennai,0.67
Chevrolet,Aveo,2015,98778,Petrol,Manual,First,Kolkata,0.84
Honda,CR-V,2023,135016,Petrol,Manual,First,Chennai,5.38
Ford,Figo,2008,129288,Petrol,Automatic,Third,Bangalore,0.68
Tata,Punch,2019,173204,Petrol,Manual,First,Mumbai,1.45
Nissan,Kicks,2009,115573,Diesel,Manual,First,Bangalore,1.44
Honda,CR-V,2014,125730,CNG,Automatic,First,Kolkata,1.84
Mahindra,Bolero,2018,153933,Diesel,Manual,First,Pune,1.39
Honda,Civic,2022,69186,Diesel,Manual,Second,Chennai,5.25
Ford,Mustang,2020,9960,Petrol,Manual,First,Mumbai,9.54
Mahindra,Thar,2023,23781,Electric,Automatic,First,Lucknow,7.58
Nissan,Micra,2021,36126,Petrol,Manual,Second,Hyderabad,2.45
Ford,Mustang,2020,158650,CNG,Manual,First,Jaipur,2.89
Hyundai,Venue,2022,111034,LPG,Manual,First,Pune,3.53
Tata,Tigor,2009,22883,LPG,Manual,First,Pune,0.94
Nissan,Evalia,2014,34782,Petrol,Manual,Second,Jaipur,1.27
Hyundai,Venue,2022,61387,Diesel,Manual,First,Chennai,4.89
Chevrolet,Beat,2016,153051,Petrol,Manual,Third,Kolkata,0.5
Nissan,Evalia,2018,38746,Petrol,Manual,First,Kolkata,2.57
Chevrolet,Cruze,2009,71266,Petrol,Manual,First,Kolkata,1.02
Mahindra,Bolero,2014,5056,LPG,Manual,Second,Ahmedabad,1.05
Hyundai,Tucson,2011,36457,LPG,Manual,Third,Mumbai,1.27
Tata,Safari,2018,138315,Petrol,Manual,First,Lucknow,1.8
Ford,Aspire,2020,191103,Diesel,Manual,Third,Lucknow,0.91
Renault,Scala,2009,137773,Electric,Manual,First,Bangalore,0.95
Honda,Accord,2020,192453,Diesel,Manual,Second,Ahmedabad,2.58
Maruti Suzuki,Swift,2023,186510,Petrol,Automatic,First,Jaipur,2.28
Tata,Tigor,2014,78839,Diesel,Automatic,First,Delhi,1.35
Hyundai,Creta,2020,85636,CNG,Manual,First,Chennai,3.56
Renault,Triber,2012,112697,Diesel,Automatic,First,Ahmedabad,1.03
Tata,Tigor,2008,71483,CNG,Manual,First,Kolkata,0.89
Hyundai,i20,2012,25505,Diesel,Automatic,First,Mumbai,2.32
Toyota,Fortuner,2019,142625,Petrol,Manual,Fourth & Above,Pune,2.35
Toyota,Camry,2019,38525,Petrol,Manual,First,Jaipur,6.2
Chevrolet,Trailblazer,2010,101008,Petrol,Manual,First,Jaipur,1.04
Tata,Punch,2014,49348,Diesel,Manual,Second,Mumbai,1.4
Toyota,Corolla,2013,12273,Petrol,Manual,First,Chennai,2.28
Hyundai,Verna,2015,69236,CNG,Manual,First,Mumbai,1.66
Chevrolet,Tavera,2020,139607,Diesel,Manual,First,Hyderabad,2.07
Hyundai,Tucson,2012,154749,CNG,Automatic,First,Bangalore,1.36
Chevrolet,Spark,2009,112157,Electric,Manual,Third,Delhi,0.73
Tata,Tigor,2016,5908,CNG,Manual,First,Ahmedabad,1.42
Renault,Fluence,2021,113352,Electric,Automatic,First,Jaipur,3.7
Ford,Aspire,2018,100967,Diesel,Manual,First,Hyderabad,1.79
Nissan,Kicks,2015,93989,Petrol,Automatic,First,Pune,1.55
Renault,Fluence,2013,40079,LPG,Manual,First,Lucknow,1.01
Mahindra,Scorpio,2020,116889,LPG,Manual,Second,Pune,1.84
Hyundai,Creta,2017,54323,LPG,Manual,Second,Jaipur,2.05
Mahindra,Scorpio,2014,181392,Diesel,Manual,Second,Kolkata,0.57
Renault,Scala,2016,94909,Diesel,Manual,First,Kolkata,1.27
Chevrolet,Captiva,2014,51105,Petrol,Manual,First,Delhi,1.38
Nissan,Micra,2010,166236,Diesel,Manual,Fourth & Above,Pune,0.5
Nissan,Terrano,2013,137957,Petrol,Manual,First,Pune,1.16
Maruti Suzuki,Baleno,2018,193891,Petrol,Manual,Fourth & Above,Pune,0.76
Nissan,X-Trail,2020,6049,Diesel,Manual,Second,Chennai,4.64
Ford,Fiesta,2018,58281,Diesel,Automatic,Third,Hyderabad,2.24
Nissan,GT-R,2014,48271,Petrol,Manual,First,Jaipur,3.51
Renault,Captur,2009,71697,CNG,Automatic,First,Mumbai,1.48
Maruti Suzuki,Swift,2010,41534,LPG,Manual,Second,Bangalore,1.29
Renault,Fluence,2011,98034,Diesel,Automatic,Second,Lucknow,0.83
Renault,Fluence,2017,63097,Diesel,Manual,First,Jaipur,1.74
Honda,Accord,2013,189885,Electric,Manual,Second,Kolkata,1.38
Maruti Suzuki,Alto,2008,30037,Petrol,Manual,First,Pune,1.11
Renault,Scala,2016,172079,Diesel,Manual,First,Ahmedabad,0.66
Honda,CR-V,2012,32278,Petrol,Manual,Third,Jaipur,1.98
Honda,BR-V,2020,144344,Petrol,Manual,First,Ahmedabad,2.51
Maruti Suzuki,Baleno,2019,193255,Diesel,Manual,First,Bangalore,1.51
Mahindra,Bolero,2021,104173,Diesel,Manual,First,Lucknow,2.06
Chevrolet,Trailblazer,2014,43294,Petrol,Manual,First,Mumbai,1.74
Ford,Endeavour,2016,78277,Petrol,Manual,First,Kolkata,1.95
Chevrolet,Spark,2016,198581,Diesel,Manual,First,Hyderabad,0.5
Nissan,Kicks,2008,9694,Diesel,Automatic,First,Delhi,2.78
Ford,Aspire,2022,63150,Diesel,Manual,Second,Mumbai,3.87
Nissan,GT-R,2008,72470,Petrol,Manual,Third,Chennai,2.84
Renault,Duster,2010,26556,Diesel,Manual,First,Bangalore,1.72
Hyundai,Santro,2013,185927,Petrol,Manual,First,Chennai,0.55
Maruti Suzuki,Ciaz,2009,54086,Petrol,Manual,First,Mumbai,1.69
Ford,Ikon,2017,154979,Diesel,Manual,Second,Delhi,1.02
Ford,Mustang,2019,184559,Diesel,Automatic,Second,Mumbai,2.82
Renault,Scala,2018,165230,Petrol,Manual,Fourth & Above,Bangalore,0.71
Mahindra,Thar,2008,156365,Petrol,Manual,First,Chennai,0.91
Honda,Accord,2008,181833,Diesel,Manual,Second,Mumbai,1.44
Renault,Captur,2020,104468,Petrol,Manual,First,Pune,2.45
Toyota,Urban Cruiser,2012,38387,Petrol,Manual,Third,Delhi,1.47
Honda,City,2011,176822,Diesel,Manual,First,Lucknow,0.93
Maruti Suzuki,Alto,2008,73602,Petrol,Manual,First,Kolkata,0.9
Honda,Accord,2011,157328,Petrol,Manual,Second,Ahmedabad,1.28
Mahindra,Thar,2010,141666,LPG,Manual,Second,Chennai,0.71
Honda,WR-V,2009,7460,Diesel,Automatic,First,Kolkata,2.98
Maruti Suzuki,Ertiga,2016,77356,Diesel,Manual,First,Jaipur,1.47
Mahindra,Scorpio,2021,59698,Diesel,Manual,First,Delhi,4.89
Chevrolet,Captiva,2022,106746,Diesel,Manual,First,Delhi,3.1
Ford,Endeavour,2018,21191,LPG,Manual,First,Pune,3.2
Ford,Aspire,2008,89631,Diesel,Automatic,Fourth & Above,Pune,0.9
Nissan,Evalia,2014,15529,Petrol,Automatic,First,Bangalore,1.87
Chevrolet,Beat,2021,37175,Diesel,Manual,Second,Jaipur,1.98
Chevrolet,Beat,2020,22675,Diesel,Manual,Second,Mumbai,2.51
Honda,Jazz,2011,179230,Diesel,Manual,Second,Bangalore,0.84
Ford,Aspire,2012,51798,Diesel,Automatic,Third,Ahmedabad,1.37
Maruti Suzuki,Ciaz,2017,75910,LPG,Manual,Second,Ahmedabad,1.16
Tata,Nexon,2012,135400,Diesel,Automatic,First,Chennai,1.18
Tata,Punch,2008,162048,Petrol,Manual,First,Ahmedabad,0.69
Mahindra,XUV300,2013,199188,Petrol,Manual,First,Lucknow,0.5
Ford,Freestyle,2020,83678,Diesel,Automatic,First,Ahmedabad,3.4
Ford,Endeavour,2016,67821,Petrol,Automatic,First,Mumbai,3.07
Tata,Punch,2009,17204,Petrol,Manual,Second,Bangalore,1.11
Ford,Endeavour,2014,191737,Petrol,Automatic,First,Mumbai,1.31
Honda,Amaze,2013,12394,Petrol,Automatic,First,Delhi,2.28
Toyota,Urban Cruiser,2012,69814,Electric,Automatic,Fourth & Above,Chennai,1.47
Hyundai,Venue,2011,38593,Petrol,Automatic,First,Bangalore,1.86
Chevrolet,Trailblazer,2011,178036,Petrol,Manual,First,Pune,0.58
Nissan,Terrano,2013,120064,Petrol,Manual,Second,Kolkata,0.87
Mahindra,Scorpio,2011,58365,Diesel,Automatic,Second,Kolkata,1.41
Toyota,Etios,2012,136515,Petrol,Manual,First,Lucknow,1.01
Tata,Hexa,2020,164252,Diesel,Manual,Second,Hyderabad,1.85
Chevrolet,Spark,2013,184863,Petrol,Manual,First,Hyderabad,0.5
Ford,Figo,2012,179737,Diesel,Automatic,First,Jaipur,0.81
Nissan,Terrano,2014,108700,CNG,Manual,First,Ahmedabad,0.95
Ford,Freestyle,2016,102077,Petrol,Manual,Second,Bangalore,1.09
Maruti Suzuki,Alto,2017,139537,Diesel,Manual,First,Delhi,1.29
Maruti Suzuki,Wagon R,2014,73247,Diesel,Manual,Second,Mumbai,1.16
Nissan,Terrano,2014,187631,CNG,Manual,First,Lucknow,0.54
Nissan,Kicks,2011,161270,Diesel,Manual,Third,Pune,0.74
Tata,Tiago,2008,59740,Diesel,Manual,Third,Chennai,0.61
Nissan,Magnite,2021,158560,CNG,Automatic,First,Bangalore,2.14
Honda,Civic,2015,174587,Diesel,Manual,First,Delhi,1.48
Ford,Endeavour,2011,32898,Petrol,Automatic,Second,Delhi,2.25
Toyota,Innova,2008,137991,Petrol,Manual,First,Chennai,1.65
Renault,Triber,2012,186142,Diesel,Automatic,First,Mumbai,0.93
Nissan,Kicks,2021,67613,LPG,Manual,First,Pune,3.57
Mahindra,XUV300,2023,101707,Electric,Manual,First,Lucknow,3.86
Maruti Suzuki,Vitara Brezza,2021,116777,LPG,Manual,First,Kolkata,1.95
Honda,Civic,2023,52003,CNG,Manual,First,Lucknow,5.55
Chevrolet,Trailblazer,2015,53478,Diesel,Manual,Second,Jaipur,0.91
Renault,Pulse,2011,150506,CNG,Manual,First,Delhi,0.55
Toyota,Yaris,2020,182318,Diesel,Automatic,First,Jaipur,2.32
Renault,Duster,2019,172721,Diesel,Manual,Third,Jaipur,0.86
Nissan,GT-R,2015,64030,Petrol,Automatic,Second,Lucknow,3.2
Tata,Altroz,2015,189133,Petrol,Manual,First,Jaipur,0.5
Maruti Suzuki,Baleno,2010,138071,CNG,Automatic,First,Lucknow,0.96
Maruti Suzuki,Wagon R,2016,150921,Diesel,Manual,First,Lucknow,0.86
Chevrolet,Spark,2010,57800,Petrol,Manual,First,Chennai,0.84
Tata,Hexa,2008,10445,Petrol,Manual,Fourth & Above,Kolkata,1.04
Ford,EcoSport,2009,154112,LPG,Automatic,Second,Ahmedabad,0.7
Hyundai,Elantra,2022,5246,Diesel,Manual,Fourth & Above,Ahmedabad,3.87
Honda,BR-V,2013,36153,Diesel,Manual,Second,Mumbai,2.46
Maruti Suzuki,Swift,2019,10212,Diesel,Manual,First,Lucknow,3.24
Mahindra,KUV100,2017,139411,Diesel,Manual,Second,Mumbai,1.17
Maruti Suzuki,Baleno,2009,61238,Petrol,Manual,Second,Lucknow,1.24
